time,temperature,humidity,precipitation,wind_speed,
01/11/15 0:00,24.8,63,0.00,10.7,
01/11/15 1:00,24.2,67,0.00,8.8,
01/11/15 2:00,23.6,71,0.00,6.7,
01/11/15 3:00,23.0,73,0.00,5.4,
01/11/15 4:00,22.3,78,0.00,5.8,
01/11/15 5:00,21.5,82,0.00,5.3,
01/11/15 6:00,21.1,83,0.00,5.6,
01/11/15 7:00,20.9,84,0.00,7.1,
01/11/15 8:00,20.8,83,0.00,8.3,
01/11/15 9:00,20.6,83,0.00,7.9,
01/11/15 10:00,22.1,76,0.00,9.5,
01/11/15 11:00,24.5,66,0.00,11.3,
01/11/15 12:00,26.8,57,0.00,12.4,
01/11/15 13:00,28.6,49,0.00,12.5,
01/11/15 14:00,30.0,43,0.00,12.8,
01/11/15 15:00,30.8,40,0.00,11.5,
01/11/15 16:00,31.2,37,0.00,10.8,
01/11/15 17:00,31.5,35,0.00,10.2,
01/11/15 18:00,31.3,35,0.00,8.4,
01/11/15 19:00,30.7,35,0.00,9.4,
01/11/15 20:00,29.7,39,0.00,10.6,
01/11/15 21:00,28.2,44,0.00,9.2,
01/11/15 22:00,27.2,49,0.00,8.5,
01/11/15 23:00,26.1,54,0.00,7.7,
02/11/15 0:00,25.3,58,0.00,7.0,
02/11/15 1:00,24.6,61,0.00,7.2,
02/11/15 2:00,23.9,65,0.00,7.6,
02/11/15 3:00,23.2,70,0.00,7.5,
02/11/15 4:00,22.6,74,0.00,7.3,
02/11/15 5:00,22.2,77,0.00,7.0,
02/11/15 6:00,21.7,80,0.00,6.8,
02/11/15 7:00,21.3,83,0.00,6.5,
02/11/15 8:00,20.8,87,0.00,6.3,
02/11/15 9:00,20.2,91,0.00,7.1,
02/11/15 10:00,22.3,82,0.00,7.9,
02/11/15 11:00,25.1,70,0.00,9.7,
02/11/15 12:00,27.2,58,0.00,9.8,
02/11/15 13:00,29.1,46,0.00,9.4,
02/11/15 14:00,30.5,37,0.00,7.9,
02/11/15 15:00,31.2,36,0.00,6.6,
02/11/15 16:00,31.8,33,0.00,5.8,
02/11/15 17:00,32.0,31,0.00,5.8,
02/11/15 18:00,31.9,31,0.00,6.6,
02/11/15 19:00,31.4,32,0.00,8.6,
02/11/15 20:00,30.2,36,0.00,10.7,
02/11/15 21:00,28.1,46,0.00,11.6,
02/11/15 22:00,26.7,56,0.00,10.8,
02/11/15 23:00,25.6,63,0.00,9.5,
03/11/15 0:00,25.0,68,0.00,7.4,
03/11/15 1:00,24.5,71,0.00,6.2,
03/11/15 2:00,24.0,74,0.00,5.0,
03/11/15 3:00,23.3,79,0.00,5.1,
03/11/15 4:00,23.1,80,0.00,5.9,
03/11/15 5:00,23.9,76,0.00,3.3,
03/11/15 6:00,23.7,77,0.00,4.1,
03/11/15 7:00,23.4,78,0.00,2.3,
03/11/15 8:00,23.2,79,0.00,2.3,
03/11/15 9:00,22.2,85,0.00,3.6,
03/11/15 10:00,23.5,79,0.00,6.0,
03/11/15 11:00,25.9,67,0.00,8.0,
03/11/15 12:00,27.8,57,0.00,9.9,
03/11/15 13:00,29.4,49,0.00,10.1,
03/11/15 14:00,30.7,43,0.00,10.2,
03/11/15 15:00,30.4,45,0.00,9.4,
03/11/15 16:00,31.0,42,0.00,8.9,
03/11/15 17:00,30.8,42,0.00,7.9,
03/11/15 18:00,30.6,42,0.00,8.0,
03/11/15 19:00,30.2,42,0.00,7.5,
03/11/15 20:00,29.7,43,0.00,5.6,
03/11/15 21:00,28.9,45,0.00,5.1,
03/11/15 22:00,28.3,48,0.00,5.8,
03/11/15 23:00,27.8,51,0.00,6.4,
04/11/15 0:00,27.2,54,0.00,6.4,
04/11/15 1:00,26.7,58,0.00,6.5,
04/11/15 2:00,25.8,62,0.00,6.2,
04/11/15 3:00,25.5,62,0.00,6.0,
04/11/15 4:00,25.0,65,0.00,5.6,
04/11/15 5:00,24.6,67,0.00,6.1,
04/11/15 6:00,24.2,70,0.00,6.4,
04/11/15 7:00,23.7,73,0.00,5.4,
04/11/15 8:00,23.0,77,0.00,5.2,
04/11/15 9:00,22.5,83,0.00,5.4,
04/11/15 10:00,23.8,74,0.00,6.2,
04/11/15 11:00,25.6,67,0.00,7.6,
04/11/15 12:00,27.2,60,0.00,8.8,
